Herero,Bantu,Latin
Hindi,Indo-Aryan,Devanagari
Hiri Motu,Malayo-Polynesian,Latin
Hungarian,Uralic,Latin
Icelandic,North Germanic,Latin
Ido,Constructed,Latin
Igbo,Igboid,Latin
Indonesian,Malayo-Polynesian,Latin
Interlingua,Constructed,Latin
Interlingue,Constructed,Latin
Inuktitut,Eskimo-Aleut,Inuktitut
Inupiaq,Eskimo-Aleut,Latin
Irish,Celtic,Latin
Italian,Romance,Latin
Japanese,Japonic,Kanji|Kana
Javanese,Malayo-Polynesian,Latin
Kannada,Dravidian,Kannada
Kanuri,Saharan,Latin
Kashmiri,Indo-Aryan,Persian
Kazakh,Turkic,Cyrillic
Khmer,Austroasiatic,Khmer
Kikuyu,Bantu,Latin
Kinyarwanda,Bantu,Latin
Kyrgyz,Turkic,Cyrillic
Komi,Uralic,Cyrillic
Kongo,Bantu,Latin
Korean,Koreanic,Hangul
Kwanyama,Bantu,Latin
Kurdish,Iranian,Latin|Persian
Lao,Kra-Dai,Lao
Latin,Italic,Latin
Latvian,Baltic,Latin
Limburgish,West Germanic,Latin
Lingala,Bantu,Latin
Lithuanian,Baltic,Latin
Luba-Katanga,Bantu,Latin
Luxembourgish,West Germanic,Latin
Macedonian,Slavic,Cyrillic
Malagasy,Malayo-Polynesian,Latin
Malay,Malayo-Polynesian,Latin
Malayalam,Dravidian,Malayalam
Maltese,Semitic,Latin
Manx,Celtic,Latin
Maori,Malayo-Polynesian,Latin
Marathi,Indo-Aryan,Devanagari
Marshallese,Malayo-Polynesian,Latin
Mongolian,Mongolic,Mongolian|Cyrillic
Nauruan,Malayo-Polynesian,Latin
Navajo,Southern Athabaskan,Latin
Northern Ndebele,Bantu,Latin
Southern Ndebele,Bantu,Latin
Ndonga,Bantu,Latin
Nepali,Indo-Aryan,Devanagari
Norwegian,North Germanic,Latin
Nuosu,Lolo-Burmese,Yi
Occitan,Romance,Latin
Ojibwe,Algonquian,Latin
Odia,Indo-Aryan,Odia
Oromo,Cushitic,Latin
Ossetian,Iranain,Cyrillic
Pali,Indo-Aryan,Brahmi
Pashto,Iranian,Persian
Persian,Iranian,Persian
Polish,Slavic,Latin
Portuguese,Romance,Latin
Punjabi,Indo-Aryan,Shahmukhi|Gurmukhi
Quechua,Isolate,Latin
Romania,Romance,Latin
Romansh,Romance,Latin
Kirundi,Bantu,Latin
Russian,Slavic,Cyrillic
Northern Sami,Sami,Latin
Samoan,Malayo-Polynesian,Latin
Sango,Ngbandi Creole,Latin
Sanskrit,Indo-Aryan,Brahmi
Sardinian,Romance,Latin
Serbian,Slavic,Latin
Shona,Bantu,Latin
Sindhi,Indo-Aryan,Arabic|Devanagari
Sinhala,Indo-Aryan,Sinhala
Slovak,Slavic,Latin
Slovene,Slavic,Latin
Somali,Cushitic,Latin
Sotho,Bantu,Latin
Spanish,Romance,Latin
Sundanese,Malayo-Polynesian,Latin|Sundanese
Swahili,Bantu,Latin|Arabic
Swazi,Bantu,Latin
Swedish,North Germanic,Latin
Tagalog,Malayo-Polynesian,Latin
Tahitian,Malayo-Polynesian,Latin
Tajik,Iranian,Cyrillic|Latin
Tamil,Dravidian,Tamil
Tatar,Turkic,Cyrillic|Latin
Telugu,Dravidian,Telugu
Thai,Tai,Thai
Lhasa Tibetan,Tibetic,Tibetan
Tigrinya,Semitic,Ge'ez
Tongan,Malayo-Polynesian,Latin
Tsonga,Bantu,Latin
Tswana,Bantu,Latin
Turkish,Turkic,Latin
Turkmen,Turkic,Latin|Arabic|Cyrillic
Twi,Kwa,Latin
Uyghur,Turkic,Arabic|Cyrillic|Latin
Ukrainian,Slavic,Cyrillic
Urdu,Indo-Aryan,Arabic
Uzbek,Turkic,Latin|Cyrillic
Venda,Bantu,Latin
Vietnamese,Austroasiatic,Latin
Volapük,Constructed,Latin
Walloon,Romance,Latin
Welsh,Celtic,Latin
Wolof,Atlnatic,Latin
Xhosa,Bantu,Latin
Yiddish,West Germanic,Hebrew
Yoruba,Volta-Niger,Latin
Zhuang,Tai,Latin|Zhuang
Zulu,Bantu,Latin
Palembang,Malayo-Polynesian,Latin
